,Age,Attrition,BusinessTravel,DailtWage,Department,DistanceHome,Education,HourlyWage,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
320,27,0,Travel Rarely,1377,Sales,2,3,74,Sales Executive,5,4,0,4
321,31,0,Travel Rarely,691,Sales,7,3,73,Sales Executive,7,7,1,7
322,32,0,Travel Rarely,1018,Research & Development,2,4,74,Research Scientist,7,7,0,7
323,28,1,Travel Rarely,1157,Research & Development,2,4,84,Research Scientist,3,2,2,2
324,30,0,Travel Rarely,1275,Research & Development,28,2,64,Research Scientist,10,8,1,9
325,31,0,Travel Frequently,798,Research & Development,7,2,48,Manufacturing Director,10,9,8,9
326,39,0,Travel Frequently,672,Research & Development,7,2,54,Manager,21,9,13,3
327,39,1,Travel Rarely,1162,Sales,3,2,41,Sales Executive,1,0,0,0
328,33,0,Travel Frequently,508,Sales,10,3,46,Sales Executive,7,7,0,1
329,47,0,Travel Rarely,1482,Research & Development,5,5,42,Research Director,3,2,1,1
330,43,0,Travel Frequently,559,Research & Development,10,4,82,Laboratory Technician,9,7,0,0
331,27,0,Non-Travel,210,Sales,1,1,73,Sales Executive,5,4,1,4
332,54,0,Travel Frequently,928,Research & Development,20,4,31,Research Scientist,4,3,0,3
333,43,0,Travel Rarely,1001,Research & Development,7,3,43,Healthcare Representative,1,0,0,0
334,45,0,Travel Rarely,549,Research & Development,8,4,75,Research Scientist,10,9,9,8
335,40,0,Travel Rarely,1124,Sales,1,2,57,Sales Executive,4,3,0,2
336,29,1,Travel Rarely,318,Research & Development,8,4,77,Laboratory Technician,7,7,0,7
337,29,0,Travel Rarely,738,Research & Development,9,5,30,Laboratory Technician,3,2,2,2
338,30,0,Travel Rarely,570,Sales,5,3,30,Sales Executive,10,9,1,2
339,27,0,Travel Rarely,1130,Sales,8,4,56,Sales Executive,8,7,0,7
340,37,0,Travel Rarely,1192,Research & Development,5,2,61,Manufacturing Director,6,2,0,4
341,38,0,Travel Rarely,343,Research & Development,15,2,92,Research Director,11,10,2,9
342,31,0,Travel Rarely,1232,Research & Development,7,4,39,Manufacturing Director,11,9,4,10
343,29,0,Travel Rarely,144,Sales,10,1,39,Sales Executive,7,7,1,7
344,35,0,Travel Rarely,1296,Research & Development,5,4,62,Manufacturing Director,16,6,0,13
345,23,0,Travel Rarely,1309,Research & Development,26,1,83,Research Scientist,4,2,0,2
346,41,0,Travel Rarely,483,Research & Development,6,3,95,Manufacturing Director,5,4,1,2
347,47,0,Travel Frequently,1309,Sales,4,1,99,Sales Representative,0,0,0,0
348,42,0,Travel Rarely,810,Research & Development,23,5,44,Research Director,1,0,0,0
349,29,0,Non-Travel,746,Sales,2,3,61,Sales Executive,4,3,0,2
350,42,0,Travel Rarely,544,Human Resources,2,1,52,Human Resources,3,2,1,0
351,32,0,Travel Rarely,1062,Research & Development,2,3,75,Laboratory Technician,8,0,0,7
352,48,0,Travel Rarely,530,Sales,29,1,91,Manager,0,0,0,0
353,37,0,Travel Rarely,1319,Research & Development,6,3,51,Research Scientist,7,7,6,7
354,30,0,Non-Travel,641,Sales,25,2,85,Sales Executive,2,2,2,2
355,26,0,Travel Rarely,933,Sales,1,3,57,Sales Executive,8,7,7,7
356,42,0,Travel Rarely,1332,Research & Development,2,4,98,Healthcare Representative,1,0,0,0
357,21,1,Travel Frequently,756,Sales,1,1,99,Sales Representative,3,2,1,2
358,36,0,Non-Travel,845,Sales,1,5,45,Sales Executive,1,0,0,0
359,36,0,Travel Frequently,541,Sales,3,4,48,Sales Executive,13,9,1,12
360,57,0,Travel Rarely,593,Research & Development,1,4,88,Healthcare Representative,3,2,1,2
361,40,0,Travel Rarely,1171,Research & Development,10,4,46,Laboratory Technician,7,7,1,7
362,21,0,Non-Travel,895,Sales,9,2,39,Sales Representative,3,2,2,2
363,33,1,Travel Rarely,350,Sales,5,3,34,Sales Representative,1,0,0,0
364,37,0,Travel Rarely,921,Research & Development,10,3,98,Laboratory Technician,5,4,0,3
365,46,0,Non-Travel,1144,Research & Development,7,4,30,Manufacturing Director,1,0,0,0
366,41,1,Travel Frequently,143,Sales,4,3,56,Sales Executive,8,7,7,7
367,50,0,Travel Rarely,1046,Research & Development,10,3,100,Healthcare Representative,4,3,1,3
368,40,1,Travel Rarely,575,Sales,22,2,68,Sales Executive,6,4,1,0
369,31,0,Travel Rarely,408,Research & Development,9,4,42,Research Scientist,2,2,2,2
370,21,1,Travel Rarely,156,Sales,12,3,90,Sales Representative,1,0,0,0
371,29,0,Travel Rarely,1283,Research & Development,23,3,54,Research Scientist,3,2,1,2
372,35,0,Travel Rarely,755,Research & Development,9,4,97,Healthcare Representative,1,1,0,0
373,27,0,Travel Rarely,1469,Research & Development,1,2,82,Laboratory Technician,5,2,0,4
374,28,0,Travel Rarely,304,Sales,9,4,92,Sales Executive,7,5,0,7
375,49,0,Travel Rarely,1261,Research & Development,7,3,31,Healthcare Representative,5,2,0,0
376,51,0,Travel Rarely,1178,Sales,14,2,87,Sales Executive,7,7,0,7
377,36,0,Travel Rarely,329,Research & Development,2,3,96,Research Scientist,2,2,2,2
378,34,1,Non-Travel,1362,Sales,19,3,67,Sales Executive,5,2,0,4
379,55,0,Travel Rarely,1311,Research & Development,2,3,97,Manager,5,4,1,2
380,24,0,Travel Rarely,1371,Sales,10,4,77,Sales Executive,5,2,0,3
381,30,0,Travel Rarely,202,Sales,2,1,72,Sales Representative,1,0,0,0
382,26,1,Travel Frequently,575,Research & Development,3,1,73,Research Scientist,6,4,0,4
383,22,0,Travel Rarely,253,Research & Development,11,3,43,Research Scientist,2,1,1,2
384,36,0,Travel Rarely,164,Sales,2,2,61,Sales Executive,10,9,9,0
385,30,1,Travel Frequently,464,Research & Development,4,3,40,Research Scientist,1,0,0,0
386,37,0,Travel Rarely,1107,Research & Development,14,3,95,Laboratory Technician,18,7,12,17
387,40,0,Travel Rarely,759,Sales,2,2,46,Sales Executive,5,4,1,3
388,42,0,Travel Rarely,201,Research & Development,1,4,95,Laboratory Technician,5,2,1,2
389,37,0,Travel Rarely,1305,Research & Development,10,4,49,Manufacturing Director,1,0,0,1
390,43,0,Travel Rarely,982,Research & Development,12,3,59,Research Director,25,10,3,9
391,40,0,Travel Rarely,555,Research & Development,2,3,78,Laboratory Technician,1,0,0,0
392,54,0,Travel Rarely,821,Research & Development,5,2,86,Research Director,4,2,1,2
393,34,0,Non-Travel,1381,Sales,4,4,72,Sales Executive,3,2,1,2
394,31,0,Travel Rarely,480,Research & Development,7,2,31,Manufacturing Director,13,10,3,12
395,43,0,Travel Frequently,313,Research & Development,21,3,61,Laboratory Technician,3,2,1,2
396,43,0,Travel Rarely,1473,Research & Development,8,4,74,Healthcare Representative,5,2,0,2
397,25,0,Travel Rarely,891,Sales,4,2,99,Sales Executive,5,4,1,3
398,37,0,Non-Travel,1063,Research & Development,25,5,72,Research Scientist,13,11,10,7
399,31,0,Travel Rarely,329,Research & Development,1,2,98,Laboratory Technician,4,2,3,2
400,39,0,Travel Frequently,1218,Research & Development,1,1,52,Manager,21,8,1,6
401,56,0,Travel Frequently,906,Sales,6,3,86,Sales Executive,7,7,7,7
402,30,0,Travel Rarely,1082,Sales,12,3,83,Sales Executive,5,4,4,4
403,41,0,Travel Rarely,645,Sales,1,3,49,Sales Executive,10,7,0,7
404,28,0,Travel Rarely,1300,Research & Development,17,2,79,Laboratory Technician,10,0,1,8
405,25,1,Travel Rarely,688,Research & Development,3,3,91,Laboratory Technician,2,2,0,2
406,52,0,Travel Rarely,319,Research & Development,3,3,39,Manufacturing Director,5,4,0,4
407,45,0,Travel Rarely,192,Research & Development,10,2,69,Research Scientist,2,2,0,2
408,52,0,Travel Rarely,1490,Research & Development,4,2,30,Manager,5,2,1,4
409,42,0,Travel Frequently,532,Research & Development,29,2,92,Research Scientist,5,4,0,2
410,30,0,Travel Rarely,317,Research & Development,2,3,43,Manufacturing Director,5,4,0,2
411,60,0,Travel Rarely,422,Research & Development,7,3,41,Manager,29,8,11,10
412,46,0,Travel Rarely,1485,Research & Development,18,3,87,Manufacturing Director,10,7,0,8
413,42,0,Travel Frequently,1368,Research & Development,28,4,88,Healthcare Representative,6,5,0,4
414,24,1,Travel Rarely,1448,Sales,1,1,62,Sales Representative,5,3,1,4
415,34,1,Travel Frequently,296,Sales,6,2,33,Sales Representative,2,2,1,0
416,38,0,Travel Frequently,1490,Research & Development,2,2,42,Laboratory Technician,1,0,0,0
417,40,0,Travel Rarely,1398,Sales,2,4,79,Manager,20,15,1,12
418,26,0,Travel Rarely,1349,Research & Development,23,3,90,Research Scientist,3,2,0,2
419,30,0,Non-Travel,1400,Research & Development,3,3,53,Laboratory Technician,5,3,1,4
420,29,0,Travel Rarely,986,Research & Development,3,4,93,Research Director,10,2,0,7
421,29,1,Travel Rarely,408,Research & Development,25,5,71,Research Scientist,2,2,1,1
422,19,1,Travel Rarely,489,Human Resources,2,2,52,Human Resources,1,0,0,0
423,30,0,Non-Travel,1398,Sales,22,4,69,Sales Executive,9,8,7,8
424,57,0,Travel Rarely,210,Sales,29,3,56,Manager,1,0,0,0
425,50,0,Travel Rarely,1099,Research & Development,29,4,88,Manager,27,10,15,7
426,30,0,Non-Travel,1116,Research & Development,2,3,49,Laboratory Technician,11,7,6,7
427,60,0,Travel Frequently,1499,Sales,28,3,80,Sales Executive,18,13,13,11
428,47,0,Travel Rarely,983,Research & Development,2,2,65,Manufacturing Director,5,0,0,4
429,46,0,Travel Rarely,1009,Research & Development,2,3,51,Research Director,3,2,0,1
430,35,0,Travel Rarely,144,Research & Development,22,3,46,Laboratory Technician,5,4,4,3
431,54,0,Travel Rarely,548,Research & Development,8,4,42,Laboratory Technician,1,0,0,0
432,34,0,Travel Rarely,1303,Research & Development,2,4,62,Research Scientist,7,3,5,7
433,46,0,Travel Rarely,1125,Sales,10,3,94,Sales Executive,3,2,1,2
434,31,0,Travel Rarely,1274,Research & Development,9,1,33,Manufacturing Director,13,8,0,8
435,33,1,Travel Rarely,1277,Research & Development,15,1,56,Manager,7,6,7,7
436,33,1,Travel Rarely,587,Research & Development,10,1,38,Laboratory Technician,4,3,1,3
437,30,0,Travel Rarely,413,Sales,7,1,57,Sales Representative,3,2,1,2
438,35,0,Travel Rarely,1276,Research & Development,16,3,72,Healthcare Representative,8,7,0,0
439,31,1,Travel Frequently,534,Research & Development,20,3,66,Healthcare Representative,1,0,0,0
440,34,1,Travel Frequently,988,Human Resources,23,3,43,Human Resources,3,2,0,2
441,42,0,Travel Frequently,1474,Research & Development,5,2,97,Laboratory Technician,2,2,2,0
442,36,0,Non-Travel,635,Sales,10,4,32,Sales Executive,10,3,9,7
443,22,1,Travel Frequently,1368,Research & Development,4,1,99,Laboratory Technician,2,2,1,2
444,48,0,Travel Rarely,163,Sales,2,5,37,Sales Executive,9,7,6,7
445,55,0,Travel Rarely,1117,Sales,18,5,83,Manager,10,9,7,7
446,41,0,Non-Travel,267,Sales,10,2,56,Sales Executive,14,3,1,10
447,35,0,Travel Rarely,619,Sales,1,3,85,Sales Executive,11,9,6,9
448,40,0,Travel Rarely,302,Research & Development,6,3,75,Manufacturing Director,20,6,5,13
449,39,0,Travel Frequently,443,Research & Development,8,1,48,Laboratory Technician,8,3,0,7
450,31,0,Travel Rarely,828,Sales,2,1,77,Sales Executive,6,5,0,5
451,42,0,Travel Rarely,319,Research & Development,24,3,56,Manufacturing Director,10,9,5,8
452,45,0,Travel Rarely,561,Sales,2,3,61,Sales Executive,8,7,3,7
453,26,1,Travel Frequently,426,Human Resources,17,4,58,Human Resources,7,7,1,0
454,29,0,Travel Rarely,232,Research & Development,19,3,34,Manufacturing Director,3,2,1,2
455,33,0,Travel Rarely,922,Research & Development,1,5,95,Research Director,6,1,0,5
456,31,0,Travel Rarely,688,Sales,7,3,44,Manager,5,4,0,1
457,18,1,Travel Frequently,1306,Sales,5,3,69,Sales Representative,0,0,0,0
458,40,0,Non-Travel,1094,Sales,28,3,58,Sales Executive,1,0,0,1
459,41,0,Non-Travel,509,Research & Development,2,4,62,Healthcare Representative,8,7,0,7
460,26,0,Travel Rarely,775,Sales,29,2,45,Sales Executive,0,0,0,0
461,35,0,Travel Rarely,195,Sales,1,3,80,Sales Executive,5,4,0,3
462,34,0,Travel Rarely,258,Sales,21,4,74,Sales Executive,10,7,5,7
463,26,1,Travel Rarely,471,Research & Development,24,3,66,Laboratory Technician,1,0,0,0
464,37,0,Travel Rarely,799,Research & Development,1,3,59,Manufacturing Director,6,5,1,2
465,46,0,Travel Frequently,1034,Research & Development,18,1,86,Healthcare Representative,2,2,1,2
466,41,0,Travel Rarely,1276,Sales,2,5,91,Manager,18,16,11,8
467,37,0,Non-Travel,142,Sales,9,4,69,Sales Executive,9,5,7,7
468,52,0,Travel Rarely,956,Research & Development,6,2,78,Research Scientist,10,9,6,9
469,32,1,Non-Travel,1474,Sales,11,4,60,Sales Executive,4,2,1,2
470,24,0,Travel Frequently,535,Sales,24,3,38,Sales Representative,2,2,2,1
471,38,0,Travel Rarely,1495,Research & Development,10,3,76,Healthcare Representative,1,0,0,0
472,37,0,Travel Rarely,446,Research & Development,1,4,65,Manufacturing Director,6,5,4,3
473,49,0,Travel Rarely,1245,Research & Development,18,4,58,Research Director,31,9,0,9
474,24,0,Travel Rarely,691,Research & Development,23,3,89,Research Scientist,6,5,1,4
475,26,0,Travel Rarely,703,Sales,28,2,66,Sales Executive,5,3,1,4
476,24,0,Travel Rarely,823,Research & Development,17,2,94,Laboratory Technician,1,0,0,0
477,50,0,Travel Frequently,1246,Human Resources,3,3,99,Manager,32,5,10,7
478,25,0,Travel Rarely,622,Sales,13,1,40,Sales Representative,7,4,0,6
479,24,1,Travel Frequently,1287,Research & Development,7,3,55,Laboratory Technician,6,3,1,2
480,30,1,Travel Frequently,448,Sales,12,4,74,Sales Representative,1,0,0,0
481,34,0,Travel Rarely,254,Research & Development,1,2,83,Research Scientist,6,5,1,3
482,31,1,Travel Rarely,1365,Sales,13,4,46,Sales Executive,3,1,1,2
483,35,0,Travel Rarely,538,Research & Development,25,2,54,Laboratory Technician,3,2,0,2
484,31,0,Travel Rarely,525,Sales,6,4,66,Sales Executive,7,7,5,7
485,27,0,Travel Rarely,798,Research & Development,6,4,66,Research Scientist,5,3,0,3
486,37,0,Travel Rarely,558,Sales,2,3,75,Sales Executive,3,0,1,0
487,20,0,Travel Rarely,959,Research & Development,1,3,83,Research Scientist,1,0,0,0
488,42,0,Travel Rarely,622,Research & Development,2,4,81,Healthcare Representative,10,2,2,2
489,43,0,Travel Rarely,782,Research & Development,6,4,50,Research Director,1,0,0,0
490,38,0,Travel Rarely,362,Research & Development,1,1,43,Research Scientist,0,0,0,0
491,43,0,Travel Frequently,1001,Research & Development,9,5,72,Laboratory Technician,8,7,4,7
492,48,0,Travel Rarely,1236,Research & Development,1,4,40,Manager,3,2,0,2
493,44,0,Travel Rarely,1112,Human Resources,1,4,50,Human Resources,2,2,0,2
494,34,0,Travel Rarely,204,Sales,14,3,31,Sales Representative,8,2,0,6
495,27,1,Travel Rarely,1420,Sales,2,1,85,Sales Representative,4,3,0,2
496,21,0,Travel Rarely,1343,Sales,22,1,49,Sales Representative,3,2,1,2
497,44,0,Travel Rarely,1315,Research & Development,3,4,35,Manager,2,2,0,1
498,22,0,Travel Rarely,604,Research & Development,6,1,69,Research Scientist,2,2,2,2
499,33,0,Travel Rarely,1216,Sales,8,4,39,Sales Executive,5,0,1,2
500,32,0,Travel Rarely,646,Research & Development,9,4,92,Research Scientist,6,4,0,5
501,30,0,Travel Frequently,160,Research & Development,3,3,71,Research Scientist,1,0,0,0
502,53,0,Travel Rarely,238,Sales,1,1,34,Sales Executive,14,7,8,10
503,34,0,Travel Rarely,1397,Research & Development,1,5,42,Research Scientist,10,9,8,8
504,45,1,Travel Frequently,306,Sales,26,4,100,Sales Executive,1,1,0,0
505,26,0,Travel Rarely,991,Research & Development,6,3,71,Laboratory Technician,3,2,0,2
506,37,0,Travel Rarely,482,Research & Development,3,3,36,Manufacturing Director,10,7,7,8
507,29,0,Travel Rarely,1176,Sales,3,2,62,Sales Executive,6,0,1,2
508,35,0,Travel Rarely,1017,Research & Development,6,4,82,Research Scientist,17,11,11,8
509,33,0,Travel Frequently,1296,Research & Development,6,3,30,Healthcare Representative,13,11,4,7
510,54,0,Travel Rarely,397,Human Resources,19,4,88,Human Resources,9,7,7,1
511,36,0,Travel Rarely,913,Research & Development,9,2,48,Manufacturing Director,3,2,0,2
512,27,0,Travel Rarely,1115,Research & Development,3,4,54,Research Scientist,4,2,1,1
513,20,1,Travel Rarely,1362,Research & Development,10,1,32,Research Scientist,1,0,1,1
514,33,1,Travel Frequently,1076,Research & Development,3,3,70,Research Scientist,10,8,9,7
515,35,0,Non-Travel,727,Research & Development,3,3,41,Laboratory Technician,1,0,0,0
516,23,0,Travel Rarely,885,Research & Development,4,3,58,Research Scientist,3,2,0,2
517,25,0,Travel Rarely,810,Sales,8,3,57,Sales Executive,3,2,1,2
518,38,0,Travel Rarely,243,Sales,7,4,46,Sales Executive,7,7,0,5
519,29,0,Travel Frequently,806,Research & Development,1,4,76,Research Scientist,10,7,2,8
520,48,0,Travel Rarely,817,Sales,2,1,56,Sales Executive,2,2,2,2
521,27,0,Travel Frequently,1410,Sales,3,1,71,Sales Executive,6,5,0,4
522,37,0,Travel Rarely,1225,Research & Development,10,2,80,Research Scientist,1,0,0,0
523,50,0,Travel Rarely,1207,Research & Development,28,1,74,Laboratory Technician,20,8,3,8
524,34,0,Travel Rarely,1442,Research & Development,9,3,46,Healthcare Representative,8,7,7,7
525,24,1,Travel Rarely,693,Sales,3,2,65,Sales Executive,2,2,2,0
526,39,0,Travel Rarely,408,Research & Development,2,4,80,Healthcare Representative,20,7,11,10
527,32,0,Travel Rarely,929,Sales,10,3,55,Sales Executive,10,7,0,8
528,50,1,Travel Frequently,562,Sales,8,2,50,Sales Executive,4,3,1,3
529,38,0,Travel Rarely,827,Research & Development,1,4,33,Healthcare Representative,9,7,1,8
530,27,0,Travel Rarely,608,Research & Development,1,2,68,Manufacturing Director,9,7,0,7
531,32,0,Travel Rarely,1018,Research & Development,3,2,39,Research Director,7,7,7,7
532,47,0,Travel Rarely,703,Sales,14,4,42,Sales Executive,7,7,1,7
533,40,0,Travel Frequently,580,Sales,5,4,48,Sales Executive,18,13,1,12
534,53,0,Travel Rarely,970,Research & Development,7,3,59,Research Director,5,1,1,3
535,41,0,Travel Rarely,427,Human Resources,10,4,73,Manager,21,6,12,6
536,60,0,Travel Rarely,1179,Sales,16,4,84,Sales Executive,2,2,2,2
537,27,0,Travel Frequently,294,Research & Development,10,2,32,Manufacturing Director,9,7,1,7
538,41,0,Travel Rarely,314,Human Resources,1,3,59,Manager,22,7,2,10
539,50,0,Travel Rarely,316,Sales,8,4,54,Sales Representative,2,2,2,2
540,28,1,Travel Rarely,654,Research & Development,1,2,67,Research Scientist,7,7,3,7
541,36,0,Non-Travel,427,Research & Development,8,3,63,Research Director,8,7,0,5
542,38,0,Travel Rarely,168,Research & Development,1,3,81,Manufacturing Director,1,0,0,0
543,44,0,Non-Travel,381,Research & Development,24,3,49,Laboratory Technician,5,2,1,4
544,47,0,Travel Frequently,217,Sales,3,3,49,Sales Executive,22,2,11,13
545,30,0,Travel Rarely,501,Sales,27,5,99,Sales Executive,8,7,7,7
546,29,0,Travel Rarely,1396,Sales,10,3,99,Sales Representative,1,0,0,0
547,42,1,Travel Frequently,933,Research & Development,19,3,57,Research Scientist,2,2,2,2
548,43,0,Travel Frequently,775,Sales,15,3,47,Sales Executive,2,2,2,2
549,34,0,Travel Rarely,970,Research & Development,8,2,96,Healthcare Representative,5,1,4,3
550,23,0,Travel Rarely,650,Research & Development,9,1,37,Laboratory Technician,4,3,0,2
551,39,0,Travel Rarely,141,Human Resources,3,3,44,Human Resources,8,3,3,6
552,56,0,Travel Rarely,832,Research & Development,9,3,81,Healthcare Representative,10,7,1,1
553,40,0,Travel Rarely,804,Research & Development,2,1,86,Research Scientist,4,2,2,3
554,27,0,Travel Rarely,975,Research & Development,7,3,55,Healthcare Representative,7,6,0,7
555,29,0,Travel Rarely,1090,Sales,10,3,83,Sales Representative,2,2,2,2
556,53,0,Travel Rarely,346,Research & Development,6,3,86,Laboratory Technician,2,2,2,2
557,35,0,Non-Travel,1225,Research & Development,2,4,61,Healthcare Representative,1,0,0,0
558,32,0,Travel Frequently,430,Research & Development,24,4,80,Laboratory Technician,10,8,4,7
559,38,0,Travel Rarely,268,Research & Development,2,5,92,Research Scientist,1,0,0,1
560,34,0,Travel Rarely,167,Research & Development,8,5,32,Manufacturing Director,0,0,0,0
561,52,0,Travel Rarely,621,Sales,3,4,31,Manager,34,6,1,16
562,33,1,Travel Rarely,527,Research & Development,1,4,63,Research Scientist,10,9,7,8
563,25,0,Travel Rarely,883,Sales,26,1,32,Sales Executive,6,5,1,4
564,45,0,Travel Rarely,954,Sales,2,2,46,Sales Representative,8,7,3,1
565,23,0,Travel Rarely,310,Research & Development,10,1,79,Research Scientist,2,2,0,2
566,47,1,Travel Frequently,719,Sales,27,2,77,Sales Executive,5,4,1,3
567,34,0,Travel Rarely,304,Sales,2,3,60,Sales Executive,6,5,1,4
568,55,1,Travel Rarely,725,Research & Development,2,3,78,Manager,5,2,1,4
569,36,0,Non-Travel,1434,Sales,8,4,76,Sales Executive,10,7,0,9
570,52,0,Non-Travel,715,Research & Development,19,4,41,Research Scientist,4,3,1,2
571,26,0,Travel Frequently,575,Research & Development,1,2,71,Laboratory Technician,2,2,2,0
572,29,0,Travel Rarely,657,Research & Development,27,3,66,Healthcare Representative,8,7,1,1
573,26,1,Travel Rarely,1146,Sales,8,3,38,Sales Executive,4,3,1,2
574,34,0,Travel Rarely,182,Research & Development,1,4,72,Research Scientist,4,2,1,3
575,54,0,Travel Rarely,376,Research & Development,19,4,95,Manufacturing Director,5,3,1,4
576,27,0,Travel Frequently,829,Sales,8,1,84,Sales Executive,4,2,1,1
577,37,0,Travel Rarely,571,Research & Development,10,1,82,Research Scientist,5,3,4,3
578,38,0,Travel Frequently,240,Research & Development,2,4,75,Manufacturing Director,15,7,4,12
579,34,0,Travel Rarely,121,Research & Development,2,4,86,Research Scientist,6,5,1,3
580,35,0,Travel Rarely,384,Sales,8,4,72,Sales Representative,3,2,0,2
581,30,0,Travel Rarely,921,Research & Development,1,3,38,Laboratory Technician,2,2,0,2
582,40,0,Travel Frequently,791,Research & Development,2,2,38,Healthcare Representative,8,7,3,7
583,34,0,Travel Rarely,1111,Sales,8,2,93,Sales Executive,3,2,1,2
584,42,0,Travel Frequently,570,Research & Development,8,3,66,Manager,24,7,14,9
585,23,1,Travel Rarely,1243,Research & Development,6,3,63,Laboratory Technician,0,0,0,0
586,24,0,Non-Travel,1092,Research & Development,9,3,60,Laboratory Technician,1,0,0,0
587,52,0,Travel Rarely,1325,Research & Development,11,4,82,Laboratory Technician,5,2,1,4
588,50,0,Travel Rarely,691,Research & Development,2,3,64,Research Director,4,3,0,3
589,29,1,Travel Rarely,805,Research & Development,1,2,36,Laboratory Technician,1,0,0,0
590,33,0,Travel Rarely,213,Research & Development,7,3,49,Research Director,13,9,3,7
591,33,1,Travel Rarely,118,Sales,16,3,69,Sales Executive,3,2,0,2
592,47,0,Travel Rarely,202,Research & Development,2,2,33,Manager,26,14,3,0
593,36,0,Travel Rarely,676,Research & Development,1,3,35,Manufacturing Director,9,7,0,5
594,29,0,Travel Rarely,1252,Research & Development,23,2,81,Research Scientist,10,7,0,7
595,58,1,Travel Rarely,286,Research & Development,2,4,31,Research Director,31,15,13,8
596,35,0,Travel Rarely,1258,Research & Development,1,4,40,Research Scientist,2,2,2,2
597,42,0,Travel Rarely,932,Research & Development,1,2,43,Manufacturing Director,4,3,0,2
598,28,1,Travel Rarely,890,Research & Development,2,4,46,Research Scientist,2,2,2,1
599,36,0,Travel Rarely,1041,Human Resources,13,3,36,Human Resources,5,2,0,4
600,32,0,Travel Rarely,859,Research & Development,4,3,98,Manufacturing Director,14,13,6,8
601,40,0,Travel Frequently,720,Research & Development,16,4,51,Laboratory Technician,1,0,0,0
602,30,0,Travel Rarely,946,Research & Development,2,3,52,Manufacturing Director,0,0,0,0
603,45,0,Travel Rarely,252,Research & Development,2,3,95,Research Scientist,1,0,0,0
604,42,0,Travel Rarely,933,Research & Development,29,3,98,Manufacturing Director,9,8,7,8
605,38,0,Travel Frequently,471,Research & Development,12,3,45,Healthcare Representative,4,3,1,2
606,34,0,Travel Frequently,702,Research & Development,16,4,100,Research Scientist,5,2,1,3
607,49,1,Travel Rarely,1184,Sales,11,3,43,Sales Executive,9,8,7,7
608,55,1,Travel Rarely,436,Sales,2,1,37,Sales Executive,9,7,7,3
609,43,0,Travel Rarely,589,Research & Development,14,2,94,Research Director,4,1,1,0
610,27,0,Travel Rarely,269,Research & Development,5,1,42,Research Director,9,8,0,8
611,35,0,Travel Rarely,950,Research & Development,7,3,59,Manufacturing Director,8,5,1,6
612,28,0,Travel Rarely,760,Sales,2,4,81,Sales Executive,8,7,7,5
613,34,0,Travel Rarely,829,Human Resources,3,2,88,Human Resources,3,2,0,2
614,26,1,Travel Frequently,887,Research & Development,5,2,88,Research Scientist,8,7,1,7
615,27,0,Non-Travel,443,Research & Development,3,3,50,Research Scientist,0,0,0,0
616,51,0,Travel Rarely,1318,Sales,26,4,66,Manager,20,6,4,17
617,44,0,Travel Rarely,625,Research & Development,4,3,50,Healthcare Representative,5,2,2,3
618,25,0,Travel Rarely,180,Research & Development,2,1,65,Research Scientist,4,3,0,1
619,33,0,Travel Rarely,586,Sales,1,3,48,Sales Executive,9,8,0,8
620,35,0,Travel Rarely,1343,Research & Development,27,1,53,Research Scientist,6,5,1,1
621,36,0,Travel Rarely,928,Sales,1,2,56,Sales Executive,18,14,4,11
622,32,0,Travel Rarely,117,Sales,13,4,73,Sales Executive,5,2,0,3
623,30,0,Travel Frequently,1012,Research & Development,5,4,75,Research Scientist,5,4,0,3
624,53,0,Travel Rarely,661,Sales,7,2,78,Sales Executive,5,2,0,4
625,45,0,Travel Rarely,930,Sales,9,3,74,Sales Executive,5,4,0,2
626,32,0,Travel Rarely,638,Research & Development,8,2,91,Research Scientist,5,3,1,3
627,52,0,Travel Frequently,890,Research & Development,25,4,81,Manufacturing Director,9,8,0,0
628,37,0,Travel Rarely,342,Sales,16,4,66,Sales Executive,1,0,0,0
629,28,0,Travel Rarely,1169,Human Resources,8,2,63,Human Resources,5,1,0,4
630,22,0,Travel Rarely,1230,Research & Development,1,2,33,Manufacturing Director,2,2,2,2
631,44,0,Travel Rarely,986,Research & Development,8,4,62,Laboratory Technician,3,2,0,2
632,42,0,Travel Frequently,1271,Research & Development,2,1,35,Research Scientist,2,1,2,2
633,36,0,Travel Rarely,1278,Human Resources,8,3,77,Human Resources,5,4,0,3
634,25,0,Travel Rarely,141,Sales,3,1,98,Sales Executive,5,3,0,3
635,35,0,Travel Rarely,607,Research & Development,9,3,66,Manufacturing Director,17,14,5,15
636,35,1,Travel Frequently,130,Research & Development,25,4,96,Research Scientist,10,2,7,8
637,32,0,Non-Travel,300,Research & Development,1,3,61,Laboratory Technician,3,0,0,2
638,25,0,Travel Rarely,583,Sales,4,1,87,Sales Executive,5,2,0,3
639,49,0,Travel Rarely,1418,Research & Development,1,3,36,Research Scientist,4,2,0,2
640,24,0,Non-Travel,1269,Research & Development,4,1,46,Laboratory Technician,5,2,3,4
641,32,0,Travel Frequently,379,Sales,5,2,48,Sales Executive,10,8,5,3
642,38,0,Travel Rarely,395,Sales,9,3,98,Sales Representative,2,2,1,2
643,42,0,Travel Rarely,1265,Research & Development,3,3,95,Laboratory Technician,5,3,1,3
